Age,Education_Level,Occupation,Number_of_Dependents,Location,Work_Experience,Marital_Status,Employment_Status,Household_Size,Homeownership_Status,Type_of_Housing,Gender,Primary_Mode_of_Transportation,Income
18,Master's,Education,2,Urban,46,Divorced,Part-time,5,Own,Townhouse,Female,Walking,2.4939608646321485
61,Bachelor's,Finance,2,Urban,28,Single,Full-time,5,Own,Apartment,Female,Biking,2.4977435281648876
62,Master's,Finance,0,Urban,48,Single,Full-time,3,Rent,Apartment,Male,Biking,2.4918265240662794
59,Bachelor's,Technology,4,Urban,42,Married,Part-time,1,Own,Single-family home,Male,Biking,2.4978329063744953
64,Master's,Technology,4,Urban,24,Single,Part-time,5,Own,Single-family home,Female,Car,2.503956378757892
30,Bachelor's,Technology,2,Suburban,22,Single,Self-employed,1,Rent,Apartment,Male,Public transit,2.7874412798506816
39,Bachelor's,Healthcare,4,Urban,11,Married,Full-time,2,Own,Townhouse,Male,Car,2.4996721947721716
38,Bachelor's,Healthcare,2,Suburban,48,Divorced,Full-time,1,Rent,Townhouse,Male,Public transit,2.5009372889419708
39,Bachelor's,Education,5,Urban,22,Single,Self-employed,4,Own,Apartment,Female,Car,2.497868158336622
45,Bachelor's,Finance,3,Urban,4,Married,Full-time,4,Rent,Single-family home,Male,Biking,2.547864805033777
26,Bachelor's,Others,5,Urban,28,Single,Full-time,3,Own,Single-family home,Female,Walking,2.498457959284506
43,Bachelor's,Healthcare,3,Urban,4,Single,Full-time,4,Own,Apartment,Male,Car,2.635543246362252
26,Master's,Education,0,Urban,38,Single,Part-time,2,Own,Single-family home,Male,Public transit,2.5022725664077807
32,Bachelor's,Healthcare,1,Urban,34,Single,Part-time,7,Rent,Single-family home,Male,Public transit,2.6880603897013136
27,Bachelor's,Finance,1,Rural,34,Married,Full-time,7,Own,Single-family home,Female,Biking,2.4922829716036876
41,Bachelor's,Finance,5,Urban,16,Married,Self-employed,1,Rent,Apartment,Female,Public transit,2.7365458737932196
59,Master's,Healthcare,4,Urban,29,Married,Part-time,7,Own,Single-family home,Female,Public transit,2.4940350275421577
25,Doctorate,Finance,1,Urban,1,Married,Full-time,1,Own,Single-family home,Male,Car,2.6946258692723153
41,Bachelor's,Finance,3,Suburban,14,Single,Full-time,6,Own,Single-family home,Female,Car,2.4994354997406107
33,High School,Healthcare,0,Urban,50,Married,Self-employed,5,Rent,Townhouse,Male,Public transit,2.4991680438023907
66,Bachelor's,Education,3,Suburban,22,Single,Full-time,5,Own,Single-family home,Female,Car,2.4943801708089555
43,Bachelor's,Technology,2,Urban,41,Single,Part-time,5,Rent,Townhouse,Female,Public transit,2.493394858136174
44,Master's,Healthcare,4,Urban,25,Single,Full-time,1,Rent,Single-family home,Female,Car,2.7235468197151302
54,Bachelor's,Education,4,Urban,10,Single,Full-time,1,Own,Single-family home,Female,Car,2.7726025938006114
21,Doctorate,Healthcare,1,Suburban,23,Married,Full-time,6,Own,Single-family home,Female,Public transit,2.697745624371504
67,Bachelor's,Technology,2,Urban,8,Single,Part-time,5,Own,Single-family home,Male,Public transit,2.497330556310368
41,Doctorate,Finance,1,Urban,13,Married,Full-time,6,Rent,Townhouse,Male,Public transit,2.5902217136118586
36,High School,Technology,1,Urban,23,Divorced,Self-employed,7,Own,Single-family home,Male,Car,2.4976304789573422
53,Master's,Healthcare,1,Urban,6,Single,Full-time,1,Own,Apartment,Female,Car,2.4990964086592524
56,Master's,Healthcare,2,Urban,9,Married,Part-time,7,Own,Apartment,Male,Car,2.790116510631293
27,Doctorate,Technology,1,Urban,32,Married,Full-time,2,Own,Townhouse,Male,Public transit,2.4941337993879484
42,High School,Education,4,Urban,32,Divorced,Self-employed,5,Rent,Apartment,Male,Car,2.4575236101286086
35,High School,Technology,1,Rural,45,Single,Self-employed,4,Own,Single-family home,Male,Car,2.5025955644999227
36,Bachelor's,Healthcare,2,Urban,26,Married,Full-time,5,Own,Townhouse,Female,Public transit,2.5003869734916004
53,High School,Finance,2,Urban,7,Single,Full-time,4,Own,Single-family home,Male,Walking,2.4930477217223435
27,High School,Others,3,Urban,13,Married,Full-time,3,Rent,Townhouse,Female,Biking,2.4390636527283407
50,High School,Others,1,Suburban,6,Single,Part-time,7,Rent,Apartment,Male,Biking,2.579017993530916
67,Bachelor's,Education,2,Urban,17,Single,Self-employed,7,Own,Townhouse,Male,Car,2.4941535384173545
22,Bachelor's,Technology,5,Urban,25,Single,Full-time,4,Own,Single-family home,Female,Public transit,2.493876726078609
64,High School,Healthcare,1,Urban,40,Single,Full-time,6,Own,Townhouse,Male,Car,2.4409886750140863
66,High School,Finance,0,Urban,14,Single,Full-time,2,Rent,Apartment,Male,Public transit,2.6540464749666364
52,Bachelor's,Healthcare,4,Urban,32,Married,Full-time,1,Own,Apartment,Male,Biking,2.5036304418361444
61,Bachelor's,Finance,4,Urban,10,Married,Full-time,7,Rent,Apartment,Female,Public transit,2.5310605131283817
51,High School,Education,5,Urban,18,Married,Full-time,6,Own,Single-family home,Female,Car,2.8028385697966702
50,Bachelor's,Others,1,Suburban,41,Single,Full-time,6,Own,Apartment,Male,Public transit,2.4977764692070417
38,Master's,Finance,4,Suburban,17,Single,Self-employed,2,Own,Apartment,Male,Public transit,2.498362310903467
34,Doctorate,Education,4,Urban,21,Married,Full-time,3,Own,Apartment,Male,Biking,2.496010630517617
39,Doctorate,Others,0,Urban,35,Single,Full-time,6,Own,Single-family home,Male,Public transit,2.8196716495746394
65,Master's,Healthcare,4,Rural,17,Divorced,Full-time,2,Own,Single-family home,Male,Walking,2.749748077338892
54,Bachelor's,Others,4,Suburban,17,Married,Self-employed,7,Rent,Single-family home,Male,Walking,2.5749987395231515
32,Bachelor's,Finance,2,Urban,21,Single,Part-time,2,Rent,Single-family home,Male,Public transit,2.7423570386494225
52,Bachelor's,Others,4,Urban,24,Married,Full-time,7,Own,Townhouse,Male,Public transit,2.500268689895963
45,Bachelor's,Healthcare,1,Rural,43,Married,Part-time,3,Own,Townhouse,Female,Biking,2.49876972878075
24,Bachelor's,Healthcare,4,Urban,30,Married,Part-time,2,Own,Apartment,Female,Public transit,2.8400927194417855
49,Bachelor's,Finance,1,Suburban,8,Married,Self-employed,3,Own,Single-family home,Female,Biking,2.499255762508889
28,Bachelor's,Others,4,Urban,49,Married,Self-employed,1,Own,Single-family home,Male,Car,2.503724020862229
27,High School,Healthcare,1,Urban,37,Married,Full-time,7,Own,Apartment,Female,Biking,2.503416734925048
26,Master's,Healthcare,4,Urban,18,Married,Full-time,5,Rent,Single-family home,Female,Car,2.6474771713471736
31,High School,Healthcare,5,Urban,24,Married,Part-time,1,Own,Single-family home,Male,Public transit,2.8321079018330666
30,High School,Others,1,Urban,14,Married,Self-employed,7,Own,Single-family home,Male,Car,2.4982782275571
42,High School,Finance,4,Suburban,4,Single,Full-time,1,Rent,Single-family home,Male,Public transit,2.5007678643142945
19,Bachelor's,Education,0,Urban,10,Single,Full-time,1,Rent,Single-family home,Female,Biking,2.494164639376816
52,High School,Healthcare,2,Suburban,12,Divorced,Full-time,2,Rent,Apartment,Male,Biking,2.5007565558633247
24,Master's,Technology,2,Urban,33,Single,Full-time,7,Rent,Townhouse,Male,Walking,2.50274332944674
38,Bachelor's,Healthcare,2,Urban,7,Married,Full-time,7,Rent,Townhouse,Female,Walking,2.613725550729361
35,Bachelor's,Finance,2,Urban,24,Single,Full-time,1,Own,Single-family home,Female,Public transit,2.4959359563407486
20,Bachelor's,Education,0,Rural,26,Single,Self-employed,3,Own,Apartment,Male,Car,2.8033748232886078
59,Bachelor's,Technology,5,Urban,10,Single,Self-employed,3,Own,Apartment,Male,Biking,2.503724020862229
56,Master's,Others,5,Urban,17,Single,Part-time,6,Own,Single-family home,Male,Public transit,2.802859173915124
58,Bachelor's,Technology,0,Rural,9,Married,Full-time,6,Own,Townhouse,Female,Public transit,2.4952727297468584
66,Master's,Education,4,Urban,32,Married,Self-employed,3,Own,Apartment,Female,Car,2.500042984913419
28,Master's,Finance,0,Suburban,35,Married,Full-time,6,Own,Single-family home,Male,Car,2.569306470482159
56,Master's,Healthcare,2,Suburban,16,Married,Full-time,3,Rent,Single-family home,Female,Biking,2.7283530147641875
41,Bachelor's,Others,5,Urban,48,Married,Self-employed,6,Rent,Apartment,Male,Public transit,2.6091382759217128
63,High School,Healthcare,3,Urban,4,Married,Part-time,1,Rent,Apartment,Female,Public transit,2.493342514195626
36,Bachelor's,Finance,4,Rural,22,Married,Full-time,4,Rent,Single-family home,Female,Public transit,2.8028422804477113
21,Bachelor's,Healthcare,1,Urban,2,Single,Self-employed,6,Own,Townhouse,Male,Public transit,2.5034123672643376
43,Master's,Healthcare,5,Urban,38,Married,Self-employed,5,Own,Single-family home,Male,Biking,2.492472356231059
55,Master's,Education,2,Urban,36,Married,Self-employed,4,Rent,Single-family home,Male,Public transit,2.501968220623752
59,Master's,Others,5,Urban,9,Married,Full-time,2,Rent,Single-family home,Female,Car,2.498355307511097
49,Master's,Others,2,Suburban,26,Divorced,Full-time,7,Rent,Single-family home,Female,Car,2.684322152944331
56,High School,Healthcare,2,Rural,6,Single,Full-time,7,Own,Single-family home,Female,Car,2.488692016429545
62,High School,Healthcare,5,Rural,48,Divorced,Part-time,1,Rent,Apartment,Female,Car,2.5030840717174847
63,High School,Education,5,Rural,28,Single,Self-employed,4,Own,Single-family home,Male,Biking,2.6976448207753
53,Master's,Education,5,Urban,48,Single,Self-employed,1,Rent,Apartment,Male,Car,2.6888866482447535
57,Master's,Finance,0,Suburban,38,Married,Self-employed,3,Own,Townhouse,Male,Biking,2.492227329609356
54,Bachelor's,Education,5,Urban,5,Single,Full-time,2,Own,Townhouse,Male,Public transit,2.7587528829295835
50,Master's,Finance,1,Urban,8,Married,Part-time,4,Rent,Single-family home,Female,Walking,2.745244585961266
53,Master's,Finance,4,Suburban,7,Divorced,Self-employed,5,Rent,Apartment,Male,Public transit,2.7100961280881046
20,Master's,Technology,2,Urban,13,Divorced,Full-time,3,Own,Single-family home,Female,Public transit,2.5029039992693254
26,Master's,Finance,5,Rural,37,Married,Full-time,6,Own,Townhouse,Male,Public transit,2.496622122131105
25,Bachelor's,Healthcare,1,Urban,8,Married,Part-time,7,Own,Townhouse,Female,Walking,2.496378114676887
50,Bachelor's,Healthcare,3,Suburban,10,Divorced,Full-time,3,Rent,Townhouse,Male,Car,2.6431520004731794
23,High School,Finance,5,Urban,10,Married,Self-employed,6,Rent,Single-family home,Female,Car,2.6699611434528174
58,Bachelor's,Healthcare,0,Urban,39,Divorced,Full-time,6,Rent,Townhouse,Female,Walking,2.491650827171165
56,Bachelor's,Healthcare,2,Urban,34,Divorced,Full-time,2,Rent,Apartment,Female,Walking,2.608869322318732
21,High School,Others,1,Urban,10,Single,Self-employed,6,Rent,Apartment,Female,Biking,2.492849722597934
30,Master's,Technology,5,Urban,35,Single,Self-employed,3,Rent,Single-family home,Male,Car,2.492495050867606
66,Bachelor's,Education,1,Rural,2,Married,Part-time,7,Rent,Apartment,Male,Walking,2.5031892814162537
19,Doctorate,Finance,2,Urban,44,Married,Self-employed,3,Own,Apartment,Female,Car,2.501972672438818
22,High School,Education,1,Urban,18,Married,Self-employed,6,Own,Single-family home,Male,Biking,2.4965002161973016
61,Bachelor's,Others,1,Urban,7,Married,Self-employed,4,Rent,Single-family home,Female,Public transit,2.5556834919030043
44,Bachelor's,Healthcare,5,Urban,27,Single,Part-time,3,Own,Apartment,Male,Car,2.792418679489228
49,High School,Technology,5,Urban,0,Single,Part-time,7,Own,Apartment,Female,Public transit,2.499493017872433
38,Bachelor's,Finance,4,Urban,39,Divorced,Part-time,2,Rent,Townhouse,Male,Public transit,2.492970087061164
25,High School,Technology,0,Urban,29,Married,Part-time,6,Rent,Apartment,Male,Car,2.540707256512466
55,High School,Finance,4,Suburban,40,Married,Self-employed,1,Own,Townhouse,Female,Car,2.5816972733981087
25,High School,Others,0,Urban,37,Divorced,Part-time,2,Own,Single-family home,Male,Public transit,2.49570665898971
67,High School,Finance,0,Urban,10,Married,Self-employed,7,Own,Single-family home,Female,Public transit,2.4954063232182713
20,Master's,Education,4,Urban,28,Married,Full-time,2,Own,Apartment,Female,Car,2.4980722979116976
61,High School,Technology,2,Urban,30,Married,Part-time,1,Rent,Apartment,Female,Public transit,2.4492001575874847
20,Bachelor's,Others,1,Suburban,9,Married,Full-time,4,Rent,Apartment,Female,Car,2.5038826228008384
39,Master's,Education,3,Urban,34,Single,Part-time,5,Rent,Apartment,Female,Walking,2.499681371936897
23,Bachelor's,Technology,4,Urban,39,Married,Part-time,7,Own,Apartment,Female,Biking,2.4997776652134314
19,Master's,Technology,4,Urban,28,Single,Self-employed,6,Own,Townhouse,Male,Car,2.78613805840315
40,Master's,Healthcare,2,Rural,36,Married,Full-time,6,Own,Apartment,Male,Public transit,2.492325939952236
61,Master's,Healthcare,1,Urban,1,Divorced,Full-time,5,Rent,Single-family home,Female,Biking,2.5031783288982243
19,High School,Others,5,Urban,47,Divorced,Self-employed,2,Own,Single-family home,Male,Car,2.496399676242944
55,Master's,Technology,4,Urban,0,Single,Self-employed,4,Own,Apartment,Female,Car,2.4944367238223006
34,Master's,Healthcare,3,Urban,31,Married,Full-time,7,Rent,Single-family home,Male,Public transit,2.789166558685623
52,Bachelor's,Others,1,Urban,23,Single,Full-time,7,Rent,Apartment,Male,Biking,2.4808897323482912
51,High School,Technology,4,Rural,1,Single,Full-time,4,Rent,Single-family home,Male,Public transit,2.4991772821250198
40,Bachelor's,Finance,5,Urban,2,Married,Part-time,4,Rent,Single-family home,Male,Car,2.4954014693760986
47,Master's,Healthcare,4,Suburban,8,Married,Part-time,4,Rent,Apartment,Male,Walking,2.8144261735170875
69,Bachelor's,Others,5,Urban,48,Single,Part-time,2,Own,Single-family home,Female,Public transit,2.503745766834908
25,Master's,Technology,0,Urban,23,Single,Part-time,6,Rent,Apartment,Male,Public transit,2.6679432923209125
39,High School,Finance,0,Rural,11,Married,Part-time,3,Rent,Single-family home,Female,Biking,2.5754164530178203
61,Master's,Healthcare,4,Urban,33,Single,Full-time,6,Own,Single-family home,Male,Biking,2.4977811739051163
53,High School,Education,2,Urban,33,Single,Part-time,5,Rent,Apartment,Male,Public transit,2.496073204050104
22,High School,Healthcare,0,Rural,22,Married,Part-time,5,Rent,Single-family home,Male,Biking,2.4924193758436384
30,Bachelor's,Others,4,Rural,18,Married,Self-employed,6,Own,Single-family home,Male,Walking,2.7206338875113536
46,High School,Healthcare,5,Suburban,31,Married,Self-employed,1,Rent,Apartment,Male,Walking,2.563212876486119
48,High School,Finance,1,Suburban,48,Single,Part-time,7,Rent,Apartment,Female,Public transit,2.732643006367384
64,High School,Healthcare,5,Urban,27,Single,Full-time,2,Own,Townhouse,Female,Biking,2.4961861873952
33,Bachelor's,Healthcare,3,Urban,25,Single,Full-time,5,Own,Single-family home,Female,Biking,2.492075372442763
59,Master's,Education,0,Suburban,48,Single,Part-time,7,Own,Single-family home,Female,Biking,2.4989228177467484
47,Master's,Finance,4,Rural,44,Single,Full-time,2,Rent,Townhouse,Female,Car,2.494301418518791
33,Bachelor's,Finance,0,Urban,11,Married,Full-time,6,Rent,Apartment,Female,Car,2.718853154153496
29,High School,Others,5,Urban,42,Single,Full-time,2,Rent,Townhouse,Female,Public transit,2.6441236155053116
34,Bachelor's,Others,5,Urban,30,Single,Self-employed,6,Rent,Single-family home,Male,Public transit,2.6535114514347016
33,Master's,Healthcare,1,Urban,10,Single,Full-time,4,Rent,Apartment,Male,Car,2.5435850866968823
29,Bachelor's,Finance,2,Urban,39,Married,Full-time,1,Rent,Apartment,Female,Car,2.4952411188506645
25,High School,Technology,4,Suburban,49,Single,Self-employed,2,Rent,Apartment,Male,Public transit,2.8057472524253835
37,High School,Others,1,Urban,3,Single,Part-time,6,Own,Single-family home,Female,Biking,2.499433198108416
20,Master's,Healthcare,3,Urban,17,Single,Full-time,5,Own,Townhouse,Female,Car,2.492290556009654
33,Bachelor's,Finance,4,Urban,28,Divorced,Self-employed,5,Own,Single-family home,Male,Biking,2.592282097792752
47,Master's,Healthcare,3,Urban,46,Divorced,Full-time,7,Own,Single-family home,Male,Biking,2.4927919806532106
62,Bachelor's,Education,2,Urban,38,Married,Self-employed,1,Rent,Townhouse,Male,Car,2.4927517865775792
40,High School,Healthcare,4,Urban,46,Single,Part-time,2,Own,Apartment,Male,Biking,2.5002595835117196
45,Bachelor's,Healthcare,4,Urban,30,Single,Full-time,4,Own,Single-family home,Male,Walking,2.493832144541532
68,Bachelor's,Education,1,Urban,50,Married,Part-time,1,Rent,Single-family home,Male,Car,2.642420176917337
57,High School,Finance,0,Urban,27,Single,Full-time,2,Own,Single-family home,Male,Public transit,2.437050394778933
22,High School,Finance,4,Urban,26,Married,Part-time,1,Own,Apartment,Female,Biking,2.492123524915937
37,High School,Healthcare,2,Rural,29,Married,Self-employed,4,Rent,Apartment,Male,Public transit,2.6051763871524805
57,High School,Healthcare,4,Suburban,48,Married,Full-time,3,Rent,Single-family home,Female,Car,2.699164683247157
61,Bachelor's,Education,4,Suburban,41,Married,Full-time,7,Own,Single-family home,Male,Car,2.495185159733165
18,Doctorate,Others,4,Urban,10,Single,Self-employed,3,Own,Apartment,Male,Public transit,2.5033686767769514
47,Bachelor's,Healthcare,4,Urban,13,Married,Part-time,3,Own,Apartment,Male,Car,2.650486902122848
38,Bachelor's,Technology,2,Urban,3,Married,Part-time,4,Own,Apartment,Male,Car,2.6075350094370235
37,Bachelor's,Healthcare,1,Suburban,35,Married,Full-time,4,Own,Single-family home,Male,Walking,2.496858206987429
23,Bachelor's,Technology,0,Urban,0,Single,Full-time,7,Own,Single-family home,Female,Car,2.503141078469323
39,High School,Healthcare,2,Suburban,43,Married,Part-time,1,Own,Single-family home,Female,Car,2.497098308639933
35,Bachelor's,Healthcare,2,Urban,38,Divorced,Full-time,6,Own,Apartment,Female,Public transit,2.492965075661565
25,Bachelor's,Healthcare,3,Urban,36,Married,Full-time,5,Rent,Townhouse,Male,Biking,2.493953444373908
56,High School,Healthcare,0,Urban,32,Married,Part-time,4,Own,Single-family home,Female,Car,2.503432019751203
49,Master's,Healthcare,1,Suburban,20,Married,Full-time,4,Rent,Townhouse,Female,Car,2.496094852142533
50,Bachelor's,Technology,5,Urban,23,Married,Part-time,3,Own,Single-family home,Female,Car,2.498623309964572
70,Bachelor's,Healthcare,1,Urban,39,Married,Part-time,3,Rent,Single-family home,Female,Public transit,2.712432952474906
33,High School,Healthcare,5,Rural,49,Married,Full-time,6,Rent,Apartment,Male,Walking,2.46584802054691
29,Bachelor's,Healthcare,3,Urban,12,Married,Part-time,3,Rent,Townhouse,Male,Public transit,2.496984295416453
55,Master's,Others,3,Urban,48,Married,Full-time,5,Own,Townhouse,Male,Car,2.5026352909001686
69,High School,Technology,2,Urban,33,Single,Self-employed,3,Own,Apartment,Female,Car,2.494576696421185
51,High School,Finance,1,Urban,37,Married,Self-employed,3,Rent,Single-family home,Female,Car,2.4927040286198183
31,Bachelor's,Education,5,Urban,28,Single,Part-time,6,Own,Apartment,Female,Public transit,2.671371063186015
53,High School,Healthcare,1,Suburban,35,Married,Full-time,7,Rent,Single-family home,Female,Public transit,2.783221955947602
50,Bachelor's,Healthcare,5,Urban,39,Married,Self-employed,5,Rent,Single-family home,Male,Public transit,2.496567169119957
40,Bachelor's,Technology,1,Suburban,46,Married,Self-employed,3,Rent,Townhouse,Male,Public transit,2.5032790322885754
67,High School,Technology,2,Urban,4,Single,Full-time,1,Rent,Apartment,Female,Car,2.819596833936108
62,High School,Others,5,Urban,19,Single,Part-time,7,Own,Single-family home,Female,Public transit,2.6535123599669643
19,Bachelor's,Others,1,Rural,28,Single,Full-time,1,Own,Apartment,Male,Public transit,2.6621347708624015
58,High School,Education,4,Urban,10,Married,Full-time,7,Rent,Apartment,Male,Biking,2.629661170011594
38,High School,Education,3,Suburban,7,Married,Part-time,2,Own,Apartment,Male,Biking,2.8239134922354427
19,Master's,Healthcare,3,Suburban,27,Married,Part-time,1,Rent,Single-family home,Male,Public transit,2.6174755381166217
44,Bachelor's,Healthcare,5,Urban,48,Single,Full-time,7,Rent,Townhouse,Male,Biking,2.498044173308076
26,Bachelor's,Others,3,Urban,40,Single,Full-time,5,Rent,Apartment,Male,Walking,2.4785541960814763
18,High School,Healthcare,3,Urban,17,Divorced,Part-time,3,Rent,Apartment,Female,Biking,2.7892006710656974
28,Bachelor's,Others,4,Rural,29,Single,Full-time,2,Own,Apartment,Male,Car,2.5086551949508697
20,Bachelor's,Technology,0,Urban,13,Married,Part-time,4,Rent,Single-family home,Female,Public transit,2.642130355994184
69,Doctorate,Technology,1,Urban,8,Married,Part-time,6,Own,Townhouse,Female,Public transit,2.8365031902440077
40,Master's,Healthcare,5,Urban,9,Married,Part-time,6,Own,Apartment,Male,Public transit,2.66559719774623
43,High School,Technology,3,Urban,24,Married,Full-time,4,Rent,Townhouse,Male,Public transit,2.821650276299082
21,Bachelor's,Technology,1,Urban,26,Single,Part-time,1,Own,Single-family home,Female,Public transit,2.5028314099598346
35,Bachelor's,Education,1,Urban,1,Divorced,Full-time,2,Rent,Apartment,Female,Public transit,2.437585779580812
23,Bachelor's,Healthcare,4,Rural,2,Single,Self-employed,4,Own,Apartment,Male,Public transit,2.4979292230335397
52,Master's,Healthcare,1,Urban,28,Single,Full-time,4,Own,Apartment,Female,Biking,2.502765359189557
39,Bachelor's,Technology,3,Urban,36,Married,Full-time,4,Own,Apartment,Female,Public transit,2.5018010883464425
60,High School,Education,5,Urban,26,Single,Full-time,1,Rent,Townhouse,Female,Public transit,2.53989287838298
32,Bachelor's,Finance,1,Suburban,3,Married,Part-time,1,Rent,Single-family home,Female,Public transit,2.4781693806508343
39,High School,Finance,4,Urban,34,Married,Part-time,2,Rent,Townhouse,Female,Walking,2.8213300295796175
54,Master's,Education,5,Urban,26,Single,Full-time,1,Own,Apartment,Female,Walking,2.4967962757989564
69,Bachelor's,Technology,5,Urban,18,Single,Part-time,1,Own,Single-family home,Male,Public transit,2.4921437905670545
59,Bachelor's,Healthcare,5,Urban,9,Single,Full-time,5,Own,Townhouse,Female,Biking,2.5002390901484266
29,High School,Finance,3,Urban,25,Single,Part-time,1,Own,Single-family home,Male,Biking,2.4951315951379547
64,Master's,Healthcare,4,Urban,6,Single,Full-time,2,Rent,Apartment,Female,Car,2.503429836393756
66,Master's,Healthcare,2,Urban,26,Married,Self-employed,1,Own,Apartment,Female,Walking,2.5017095665270737
59,Bachelor's,Healthcare,0,Urban,29,Single,Self-employed,6,Own,Single-family home,Female,Biking,2.5112905308439215
55,High School,Finance,1,Suburban,11,Single,Self-employed,6,Own,Apartment,Female,Biking,2.5009756392651163
35,Bachelor's,Healthcare,1,Urban,39,Single,Self-employed,1,Rent,Townhouse,Female,Public transit,2.4995137137334007
62,High School,Healthcare,1,Rural,4,Married,Full-time,5,Rent,Single-family home,Female,Car,2.5011491010648337
52,High School,Education,2,Urban,12,Married,Full-time,6,Own,Apartment,Female,Public transit,2.667165231838109
47,High School,Healthcare,5,Suburban,40,Divorced,Full-time,2,Rent,Apartment,Female,Biking,2.474181941466629
41,High School,Finance,5,Urban,3,Married,Full-time,6,Own,Townhouse,Female,Public transit,2.49157686285109
59,Bachelor's,Technology,0,Urban,1,Single,Full-time,4,Rent,Single-family home,Female,Walking,2.5015351459267086
47,Doctorate,Others,4,Suburban,36,Single,Part-time,5,Own,Apartment,Male,Car,2.4936535574313847
31,Bachelor's,Healthcare,2,Urban,33,Single,Part-time,1,Rent,Townhouse,Female,Walking,2.755128680916144
23,High School,Healthcare,2,Urban,49,Married,Self-employed,3,Own,Single-family home,Male,Public transit,2.4933774141443585
20,Bachelor's,Finance,3,Suburban,5,Married,Full-time,5,Own,Apartment,Male,Biking,2.7569925649770166
33,Bachelor's,Technology,5,Suburban,25,Single,Part-time,5,Rent,Single-family home,Male,Public transit,2.573056082139223
24,High School,Healthcare,2,Urban,10,Married,Full-time,2,Rent,Single-family home,Male,Biking,2.499679077749767
69,Master's,Technology,2,Urban,41,Married,Self-employed,4,Own,Apartment,Female,Public transit,2.531617112457731
31,Bachelor's,Finance,1,Urban,0,Married,Self-employed,4,Rent,Single-family home,Female,Walking,2.502994089073544
26,Doctorate,Healthcare,5,Rural,33,Single,Full-time,4,Rent,Single-family home,Female,Public transit,2.5034887649282562
32,Bachelor's,Finance,3,Urban,20,Single,Full-time,5,Own,Single-family home,Male,Walking,2.500962106072667
38,Bachelor's,Healthcare,4,Suburban,9,Single,Full-time,3,Own,Apartment,Female,Car,2.639786258357402
52,High School,Others,0,Urban,4,Married,Part-time,2,Own,Single-family home,Male,Biking,2.5820382615502893
19,Bachelor's,Technology,4,Urban,25,Married,Full-time,3,Own,Single-family home,Female,Car,2.5024342377534303
44,High School,Healthcare,3,Urban,43,Married,Part-time,4,Own,Townhouse,Male,Car,2.497043698627615
19,Master's,Education,1,Urban,18,Single,Part-time,5,Rent,Single-family home,Female,Car,2.519080529515163
52,Master's,Others,0,Urban,20,Married,Part-time,4,Rent,Apartment,Female,Biking,2.5026551462823856
35,Master's,Finance,4,Urban,33,Married,Self-employed,3,Own,Apartment,Female,Public transit,2.5403021990036634
31,Master's,Education,5,Urban,28,Single,Part-time,4,Own,Apartment,Female,Public transit,2.766928612371722
37,Master's,Technology,5,Urban,37,Single,Part-time,1,Own,Apartment,Female,Walking,2.501472435309603
35,High School,Technology,0,Urban,14,Married,Full-time,2,Rent,Apartment,Male,Car,2.5414812643349816
27,Bachelor's,Healthcare,0,Urban,39,Married,Part-time,3,Rent,Single-family home,Male,Biking,2.7217035314101947
42,Bachelor's,Healthcare,0,Suburban,15,Divorced,Part-time,1,Rent,Apartment,Female,Car,2.4984089836945684
19,Bachelor's,Technology,2,Urban,50,Married,Self-employed,4,Own,Apartment,Male,Car,2.469230901113539
42,Master's,Education,3,Urban,17,Married,Part-time,2,Rent,Single-family home,Male,Public transit,2.4934396958161877
50,High School,Healthcare,5,Rural,48,Married,Part-time,2,Own,Single-family home,Male,Public transit,2.647974931329594
53,High School,Finance,5,Urban,0,Single,Part-time,2,Rent,Townhouse,Male,Public transit,2.4975101796953147
48,Master's,Technology,3,Rural,10,Married,Full-time,5,Own,Single-family home,Male,Public transit,2.8348584843041067
31,Bachelor's,Education,1,Urban,35,Divorced,Full-time,2,Own,Apartment,Female,Car,2.494321114217327
18,High School,Healthcare,5,Urban,31,Single,Full-time,1,Rent,Single-family home,Female,Public transit,2.5680496457234363
63,Master's,Technology,4,Urban,27,Single,Full-time,3,Own,Townhouse,Male,Car,2.5462794877832087
33,Master's,Technology,1,Urban,5,Married,Full-time,1,Own,Single-family home,Female,Car,2.4939732301254547
63,High School,Technology,4,Urban,6,Divorced,Part-time,4,Rent,Townhouse,Female,Biking,2.4994470068547274
69,Master's,Healthcare,0,Urban,39,Single,Self-employed,5,Own,Townhouse,Male,Biking,2.4968248656888776
20,Master's,Technology,5,Suburban,23,Married,Self-employed,5,Own,Townhouse,Female,Car,2.448777152934461
52,Master's,Others,4,Urban,9,Married,Full-time,4,Rent,Townhouse,Male,Biking,2.5154252408523448
58,Master's,Education,4,Urban,29,Married,Full-time,3,Rent,Single-family home,Male,Car,2.6217439648692173
23,Bachelor's,Healthcare,0,Urban,16,Married,Full-time,5,Own,Single-family home,Male,Walking,2.4966030125409584
42,Bachelor's,Finance,1,Suburban,43,Divorced,Full-time,4,Own,Single-family home,Female,Public transit,2.4687180488705582
30,High School,Healthcare,4,Urban,7,Single,Full-time,4,Rent,Apartment,Male,Public transit,2.685776773217336
70,High School,Healthcare,5,Urban,11,Single,Part-time,7,Own,Apartment,Male,Public transit,2.4930377087814537
51,Bachelor's,Healthcare,1,Suburban,25,Single,Full-time,7,Rent,Apartment,Male,Car,2.644990306824972
